,Time / Date,Active Time/Date,Area,Description,Device
6681,2023-09-02 오전 11:24,2023-09-02 오전 11:24,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
7211,2023-09-02 오전 7:43,2023-09-02 오전 7:42,LP01,LPF in Product Test Mode  OK ,LP01
7212,2023-09-02 오전 7:43,2023-09-02 오전 7:42,LP01,LPF in Product Test Mode  OK ,LP01
7220,2023-09-02 오전 7:42,2023-09-02 오전 7:42,LP01,LPF in Product Test Mode Digital Alarm,LP01
7225,2023-09-02 오전 7:42,2023-09-02 오전 7:41,LP01,System is stopped  OK ,LP01
7244,2023-09-02 오전 7:42,2023-09-02 오전 7:41,LP01,Emergency stop from external system  OK ,LP01
7259,2023-09-02 오전 7:41,2023-09-02 오전 7:41,LP01,System is stopped Digital Alarm,LP01
7260,2023-09-02 오전 7:41,2023-09-02 오전 7:41,LP01,Emergency stop from external system Digital Alarm,LP01
7768,2023-09-02 오전 6:08,2023-09-02 오전 6:06,LP01,Timeout - Deposit position not ready  OK ,LP01
7769,2023-09-02 오전 6:08,2023-09-02 오전 6:06,LP01,Timeout - Deposit position not ready  OK ,LP01
7786,2023-09-02 오전 6:06,2023-09-02 오전 6:06,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
7804,2023-09-02 오전 6:04,2023-09-02 오전 6:04,LP01,Timeout - Deposit position not ready  OK ,LP01
7805,2023-09-02 오전 6:04,2023-09-02 오전 6:04,LP01,Timeout - Deposit position not ready  OK ,LP01
7808,2023-09-02 오전 6:04,2023-09-02 오전 6:04,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
7821,2023-09-02 오전 6:02,2023-09-02 오전 6:00,LP01,Timeout - Deposit position not ready  OK ,LP01
7822,2023-09-02 오전 6:02,2023-09-02 오전 6:00,LP01,Timeout - Deposit position not ready  OK ,LP01
7831,2023-09-02 오전 6:00,2023-09-02 오전 6:00,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
7836,2023-09-02 오전 5:59,2023-09-02 오전 5:59,LP01,Timeout - Deposit position not ready  OK ,LP01
